16273256313	晁盖
15779337334	宋江
17894430570	卢俊义
18562615737	吴用
19935985322	林冲
17227494764	杨志
13209621229	武松
17696971887	鲁智深
14545593695	阮小二
13935324629	阮小七
13350565591	燕青
18748616334	花荣
14147690211	孙二娘
15733539163	张青
18224174585	李逵
18446070668	张顺
13224084125	扈三娘
18137043747	王英
14607572223	潘金莲
18739005535	武大郎
17102771849	关胜
13764267516	秦明
17375291437	呼延灼
17875647896	柴进
18154089269	朱仝
17332523654	董平
15070551695	徐宁
16102209210	史进
15116616990	李俊
16608725371	刘唐
17309197910	戴宗
17772779639	穆弘
19508752064	公孙胜
16466802415	雷横
14246219038	石秀
13104107467	解珍
16289849850	解宝
16497418054	朱武
19027095732	黄信
18188625874	孙立
19482261837	宣赞
17756464290	韩滔
18998066695	彭玘
17765982602	杨林
14153450335	吕方
19536627742	安道全
15437102507	皇甫端
17742677428	童威
13715775095	陶宗旺
18069051340	郑天寿
15507540426	宋清
13266577838	陈达
14983099009	侯健
19509192781	孟康
17204205762	乐和
14001437520	曹正
13785877362	宋万
14114536420	杜迁
19689406613	杜兴
16063855984	汤隆
